pillar,group,ind,indicator,,,,,,,,,
Environment,Emissions & pollution,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,,,,,,,
Environment,Emissions & pollution,EN.ATM.CO2E.KT,CO2 emissions (kt),,,,,,,,,
Environment,Emissions & pollution,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,,,,,,,
Environment,Emissions & pollution,EN.ATM.METH.PC,Methane emissions (metric tons of CO2 equivalent per capita),,,,,,,,,
Environment,Emissions & pollution,EN.ATM.NOXE.PC,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),,,,,,,,,
Environment,Emissions & pollution,EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,
Environment,Energy use & security,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),,,,,,,,,
Environment,Energy use & security,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",,,,,,,,,
Environment,Energy use & security,EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP),,,,,,,,,
Environment,Energy use & security,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),,,,,,,,,
Environment,Energy use & security,EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total),,,,,,,,,
Environment,Energy use & security,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),,,,,,,,,
Environment,Energy use & security,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),,,,,,,,,
Environment,Climate risk & resilience,EN.POP.DNST,Population density (people per sq. km of land area),,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.CDDY.XD,Cooling Degree Days,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.HDDY.XD,Heating Degree Days,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.HEAT.XD,Heat Index 35,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.SPEI.XD,Standardised Precipitation-Evapotranspiration Index,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.LTMP.XD,Land Surface Temperature,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.CSTP.XD,Coastal protection,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.WTR.STRS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,,,,,,,,,
Environment,Climate risk & resilience,EN.CLC.WTR.BDYS,Proportion of bodies of water with good ambient water quality,,,,,,,,,
Environment,Food Security,AG.LND.AGRI.ZS,Agricultural land (% of land area),,,,,,,,,
Environment,Food Security,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",,,,,,,,,
Environment,Food Security,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),,,,,,,,,
Environment,Natural capital endowment & management,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI),,,,,,,,,
Environment,Natural capital endowment & management,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI),,,,,,,,,
Environment,Natural capital endowment & management,ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,
Environment,Natural capital endowment & management,AG.LND.FRST.ZS,Forest area (% of land area),,,,,,,,,
Environment,Natural capital endowment & management,EN.MAM.THRD.NO,"Mammal species, threatened",,,,,,,,,
Environment,Natural capital endowment & management,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),,,,,,,,,
Environment,Natural capital endowment & management,AG.LND.FRLS.XD,Forest Cover Loss,,,,,,,,,
Social,Access to Services,EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,
Social,Access to Services,EG.ELC.ACCS.ZS,Access to electricity (% of population),,,,,,,,,
